ASV_ID;Domain;Supergroup;Division;Subdivision;Class;Order;Family;Genus;Species
5194834abfe03afa5b285ea54e4da998;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
2a07fb5d30db73425f5abacb81d74df5;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
fe69d30147a337ae43684acf88e0285d;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
c8a78c096e37d24fe52adff56b551904;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
928c32802a3b43008889e73c40e88d4b;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
86fe1e23745e8bc3675ea7bd5ad97b59;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
728a125e84749952a1568e8f936c0e34;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
2544fbc96f05f88d89e65110a47d71a1;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
5612e241d434f610287a723e783e4389;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
b7beecf258831a80d275f4e54c28694c;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
a49cd8d6bce5cf90afe0c208b972a023;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
d7ed8a8fcba19716249bec756f8bc8dd;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
5adb2f2e44b9915483e8f25da3226abf;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
238f28cdae3b02fb7cd3d478a1a108a3;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
bfb04745020147809c15de6179f6031f;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
6de844ed3350ba96f0d728693f533b3e;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
5b4caa670d026e3b2a214adefbf6d3b5;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
c311cd05a099cb68ac14d909bae9285b;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
72d51fb3705898dfdfb637564360678a;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
2ca9d263dfbcffe67ff57c9b0209ac5b;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
180a42bb6ddfe7e1f06d488ae12271f8;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
d4d828ce954c4b2ffb7d04ae04c8fece;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
bc8062d3f3dc21547ed0504ae1016fe7;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
eb0e5c65f09a1c67ac4b45dab5a4d9ff;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
627e6b774d527606c0da63526b426274;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
fcad9e5af885d0a3e93d0e2ead72190f;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
f38faef0e104c42484820fc1a287710a;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
4ed6fc81270bc380273882865e8d4912;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
0216d5420dc7240f4e345bd2b13f9bc7;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
783cec0e9b0774ccdda12e7da0108df8;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
dfd9ea301e0eba85bef5dc1fb6425b1f;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
81d5c01351a054523bbe612c0ebf3e7d;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
eef51fcb2ee3cc2557102a8c511e405c;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
1a1f1f38b7c4f19b5993a33444b78454;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
93580870daab51c2a5336ecdbea3a7c6;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
078244425542a9e7c63fd0258cda103a;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
4155436d26c22244a6065b2fcb72a296;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
696da5f10b4bc4e241418f7c99b9f8c3;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
f839b591c4e5cd0ebf58337edc3b5454;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
aef646997bed0aebbe89e4f5e528e3b4;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
48debbf5ce8ef0cc041250284ae30449;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
afca78ee58c959214980c93407ce5c79;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
b727f71fd80d4e5ca4afcacea2c0fc9d;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
eea18583e006ed91a9e9bb22ed5965ba;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
302c6f43ce397a3b27e6b1427aa7b02c;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
727d86c13a86ba89f07bdf1be733a897;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
3a6189c8ff25240683fa6ea25f2f325a;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
b2de6c1c436d35389bc56c2875b60cfa;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
b5ccaef1bbaae65ef3d0329af0559862;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
4fc84b4cd9023660b10574f214c701d7;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
d763f9aaebe4b23c2461935ffd40a921;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
b888b0d2e4767d591dcb9d70fe836a11;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
d5a8b5a0c9ed299c9fb29c191c643ffa;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
5d21a8520187b0e5fe6f13e38fc3af0b;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
7f31212eade08194e1c1abc8062aa829;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
5d0ad848a27bebd371e0adc295f46747;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
499cc7425d07eeaa672fd287a0574d56;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
4b37adfddb14b20ca12c1aa2e609d939;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
aee32ee18c690e1ccfb74bbb6243b05d;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
45cbdfe82d4714412fb2f6787ba8472c;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
6486bbab1db32a82c0bf66c096551cc1;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
a6de9bac43be18fc40c48ed5edabfaf3;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
67162c322cdfc3015ed0e32c4970ec04;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
be7c18b740b0bb4558c28818586271e7;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
0edc32c0ddadae6706b5cdf1772457ec;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
40d92f3a17a9165e8958c202539ec084;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
7929ca5280494e1e342e647b0f6d0173;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
913986d0266ea6e9e5987105a159a67a;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
07ffa311da10ecd2bb14886d6b26d8ef;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
73e8a542a43d132085de220814e553f1;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
a1a32fa2a9966c211c5305e719e3d6b0;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
a65960e1414d8c95cc4547986fca6acb;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
79213376a1d181b337328addd8752aab;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
1d18917ad985d0693b9c6b0924f50acb;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
9851f3368b24d0f519171c84444c5f47;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
95d1d41edd9507f1f42396f876b49782;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
11d5465aa995e647664c984a72fc6281;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
f6d3c43fca2fdd5b48c269954ce034f4;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
07c5dd9a05455c57a14f20e765c85df1;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
c7b68a3eb12c0efcee579cf096a40cf6;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
2dc5d630c15e3ee8ba7027738b9e2dda;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
fcb5d115e620fd91e2ab6ba74459f5c6;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
340d9f105e97f513a35c3944d013bb36;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
627706337299a460d719f4e7b247b637;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
bdd4feca35ca2912d647dc07432b608d;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
4eaf38d3e641cb4a42f18268bcf60d5b;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
b43fbdc9ef5940be653dc29455b19b1e;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
225a98b6f3c816abff13d3a89bd786a7;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
057d0bb763a1337689be74fb08af1078;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
a7d8a73166f522b82e6265bbc2e8b188;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
a3dc71a282e804ae34d67676cd85450f;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
3635bd164b1d263573a2fca848ce764c;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
bb31c7082df7f828447430156ca0367f;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
18d3bb41ab1003ffbf36fc538239b44a;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
24e35add2e9bdde948c52a0de539804e;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
348843a76ad162a3d679330bc084b6af;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
86e08535c9e241140f417a65fe3eca48;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
42596a7e78358054fd15194a7034ceb8;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
8c9fb831b974a0cf1192ce0416d4504d;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
e6528b871a3cb3080654f7ed3b5d8039;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
66d35691076974093e29a80a9acd67cd;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
27685471c7854fa668678a25b16d1927;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
55804bd8270ebbd21b57a08eccffd06f;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
670453ad6b1422d3911e916ee6f20b9e;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
7595301e6f16f78aa511d45630c3ec2e;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
654ad0a800ff57f745114ab5bc364220;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
4e1bce581ffe0fc0e3d5b6a1efb92806;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
417ee75ca5f15ce391382640e33020f5;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
b093b9deb1eed5e248e16102315793cf;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
957817a47acdf101c26e84372278ac3a;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
fe0c8d7dc9dc028144a5b87bce3d16e0;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
4aab45deed369849f2d7068d61af90db;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
d6db38c51fa420511d37ae57fecdf6fd;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
69698c25e97bff230af61f494df7e2e6;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
be4acf10752487e701b700679d136671;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
8cb3b40cddc713f0f87ae79c1ada021e;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
427d9d9857708c6fab0209ade340f124;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
7bcee7fdf8010b2cc78f75f1dac84333;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
a41abbcf80d2afea49a6c8a29ee3f33e;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
8275a25c653d03b1c2f7387484e27dfc;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
36d40bb223fb9220d5a89c5299a98849;Eukaryota; Obazoa; Opisthokonta; Fungi; Fungi_X; Fungi_XX; Fungi_XXX; Fungi_XXXX; Fungi_XXXX_sp.
